geography code,outcode,postcodes,Welsh speaking ability: Total: All usual residents aged 3 years and over,Welsh speaking ability: Cannot speak Welsh,Welsh speaking ability: Can speak Welsh
W00005547,CF36,"CF36 3DH, CF36 3DN, CF36 3DP, CF36 3DQ, CF36 3DW",251,237,14
W00005548,CF36,"CF36 3AQ, CF36 3BF, CF36 3FA, CF36 3LU, CF36 3YF, CF36 3YG, CF36 3YL, CF36 3YQ, CF36 3YS, CF36 3YU, CF36 3YW",358,325,33
W00005549,CF36,"CF36 3AH, CF36 3AL, CF36 3AN, CF36 3AP, CF36 3AR, CF36 3AS, CF36 3AT, CF36 3AU, CF36 3AW, CF36 3AY, CF36 3AZ, CF36 3BA, CF36 3BB, CF36 3BD, CF36 3BE, CF36 3BG, CF36 3BH, CF36 3BL, CF36 3BP, CF36 3BS, CF36 3BT, CF36 3BU, CF36 3BW, CF36 3LJ, CF36 3XB, CF36 3XD, CF36 3YA, CF36 3YE, CF36 3YP, CF36 3YR",363,346,17
W00005550,CF36,"CF36 3BX, CF36 3ET, CF36 3EU, CF36 3EY, CF36 3HA, CF36 3HS, CF36 3HT, CF36 3LS",287,251,36
W00005536,CF36,"CF36 5BN, CF36 5HP, CF36 5HR, CF36 5HS, CF36 5HT, CF36 5HX",236,226,10
W00005535,CF36,"CF36 5LE, CF36 5NA, CF36 5TH, CF36 5TL",167,160,7
W00005543,CF36,"CF36 5EY, CF36 5HA, CF36 5HB",301,287,14
W00005533,CF36,"CF36 5DT, CF36 5DU, CF36 5EL, CF36 5EP, CF36 5ER, CF36 5ES, CF36 5ET, CF36 5EU",268,253,15
W00005469,CF36,"CF36 3HQ, CF36 3QJ, CF36 3QL, CF36 3QW, CF36 3RY, CF36 3SE, CF36 3TL, CF36 3TN, CF36 3TP, CF36 3TW",266,253,13
W00005467,CF36,"CF36 3EZ, CF36 3HJ, CF36 3HR, CF36 3HW, CF36 3SA",287,264,23
W00005468,CF36,"CF36 3RL, CF36 3RN, CF36 3SL, CF36 3SN",306,268,38
W00005534,CF36,"CF36 5LA, CF36 5LB, CF36 5LD, CF36 5NB, CF36 5ND",289,262,27
W00005471,CF36,"CF36 3NF, CF36 3NG, CF36 3NH, CF36 3NL, CF36 3PH, CF36 3PS",198,192,6
W00005582,CF36,"CF36 3RF, CF36 3UE, CF36 3UF, CF36 3UG, CF36 3UH, CF36 3UT",207,192,15
W00005466,CF36,"CF36 3DJ, CF36 3HL, CF36 3HP, CF36 3RS, CF36 3RT, CF36 3RU",341,307,34
W00005465,CF36,"CF36 3QG, CF36 3QN, CF36 3QP, CF36 3SB, CF36 3SD, CF36 3TJ",286,268,18
W00005581,CF36,"CF36 3PN, CF36 3RB, CF36 3RD, CF36 3RE, CF36 3RH, CF36 3UD, CF36 3UR",219,201,18
W00005463,CF36,"CF36 3NN, CF36 3NP, CF36 3NS, CF36 3NW, CF36 3PD, CF36 3PE, CF36 3PG",247,224,23
W00005462,CF36,"CF36 3PP, CF36 3PR, CF36 3RP, CF36 3RW, CF36 3SS",199,180,19
W00005461,CF36,"CF36 3NT, CF36 3NU, CF36 3NY, CF36 3PA, CF36 3PB, CF36 3RG",290,269,21
W00005580,CF36,"CF36 3QE, CF36 3QH, CF36 3QR, CF36 3RA, CF36 3RR",307,269,38
W00005555,CF36,"CF36 3DR, CF36 3DT, CF36 3DY, CF36 3EA, CF36 3EB, CF36 3EE, CF36 3EQ",322,298,24
W00005554,CF36,"CF36 3EG, CF36 3EH, CF36 3EL, CF36 3EN, CF36 3EW, CF36 3HN",239,217,22
W00005532,CF36,"CF36 5DR, CF36 5EN, CF36 5EW, CF36 5HH, CF36 5HL, CF36 5HW",272,265,7
W00005464,CF36,"CF36 3PT, CF36 3PU, CF36 3PW, CF36 3PY, CF36 3XE, CF36 3XH, CF36 3XP, CF36 3XW, CF36 3XX, CF36 3XY, CF36 3YB, CF36 3YD, CF36 3YH, CF36 3YX",225,205,20
W00006142,CF37,"CF37 4EB, CF37 4EN, CF37 4HA",289,251,38
W00006221,CF37,"CF37 3AS, CF37 3AT, CF37 3AU, CF37 3AY, CF37 3AZ, CF37 3BA",369,311,58
W00006220,CF37,"CF37 3AE, CF37 3DD, CF37 3DE",285,268,17
W00006117,CF37,"CF37 1PL, CF37 1PU, CF37 1PW, CF37 1PX, CF37 1PY, CF37 1PZ, CF37 1QA, CF38 2RB, CF38 2RD, CF38 2RJ",233,193,40
W00006141,CF37,"CF37 4HG, CF37 4HH, CF37 4HX, CF37 4HY, CF37 4HZ, CF37 4JA, CF37 4JB, CF37 4JD, CF37 4JE, CF37 4JF",334,288,46
W00006143,CF37,"CF37 4EJ, CF37 4EU, CF37 4EX, CF37 4EY",315,275,40
W00006191,CF37,"CF37 2LL, CF37 2LN, CF37 2LP, CF37 2LU, CF37 2LW, CF37 2LZ, CF37 2NN, CF37 2NP, CF37 2NW, CF37 2PD",236,218,18
W00006145,CF37,"CF37 4HD, CF37 4HJ, CF37 4HU, CF37 4NE, CF37 4NF, CF37 4NT, CF37 4NU",386,322,64
W00006146,CF37,"CF37 4HB, CF37 4HE, CF37 4HF, CF37 4HT",276,246,30
W00006193,CF37,"CF37 2NQ, CF37 2NR, CF37 2NS, CF37 2NT, CF37 2PA",236,222,14
W00006192,CF37,"CF37 2NG, CF37 2NH, CF37 2NL, CF37 2NU, CF37 2NY, CF37 2PB",255,232,23
W00006222,CF37,"CF37 3BQ, CF37 3DF, CF37 3DW, CF37 3DZ, CF37 3NB",238,208,30
W00006147,CF37,"CF37 4DP, CF37 4DW, CF37 4DX, CF37 4LQ, CF37 4LY, CF37 4NA, CF37 4NB, CF37 4ND, CF37 4NQ",309,269,40
W00006148,CF37,"CF37 4EP, CF37 4ER, CF37 4ES, CF37 4ET, CF37 4EW, CF37 4HL, CF37 4HN, CF37 4HS, CF37 4HW, CF37 4NN, CF37 4NW, CF37 4NX, CF37 4WX",286,238,48
W00006149,CF37,"CF37 4EG, CF37 4EH, CF37 4NP",334,287,47
W00006144,CF37,"CF37 4EL, CF37 4NG, CF37 4NH, CF37 4NJ, CF37 4NL, CF37 4NR, CF37 4NS, CF37 4SF",293,270,23
W00006223,CF37,"CF37 3BS, CF37 3PR, CF37 3PS, CF37 3YA, CF37 3YH, CF37 3YQ, CF37 3YU, CF37 3ZA",273,240,33
W00006228,CF37,"CF37 3AH, CF37 3AL, CF37 3AW, CF37 3BB, CF37 3BD, CF37 3HE, CF37 3HF, CF37 3HG",301,261,40
W00006225,CF37,"CF37 3BG, CF37 3BH, CF37 3BL, CF37 3BN, CF37 3BP, CF37 3BU, CF37 3BW, CF37 3DN",245,216,29
W00006546,CF37,"CF37 1DJ, CF37 1DN, CF38 1EN, CF38 1EW, CF38 1EX, CF38 1HE, CF38 1HF, CF38 1HR, CF38 1HS, CF38 1SR, CF38 1SW, CF38 1SY, CF38 1UY, CF38 1WZ, CF38 1XE",331,295,36
W00006251,CF37,"CF37 5NT, CF37 5NU, CF37 5NX, CF37 5NY, CF37 5PA, CF37 5PB, CF37 5PQ, CF37 5PX, CF37 5RP",442,387,55
W00006250,CF37,"CF37 5BT, CF37 5NH, CF37 5PD, CF37 5PE, CF37 5PF, CF37 5PG, CF37 5PH, CF37 5PY, CF37 5RD",400,350,50
W00006249,CF37,"CF37 5AA, CF37 5AB, CF37 5AD, CF37 5AE, CF37 5AF, CF37 5AG, CF37 5AL, CF37 5AN, CF37 5AP, CF37 5AZ, CF37 5BN, CF37 5BS, CF37 5LH, CF37 5LW",528,476,52
W00006248,CF37,"CF37 5AH, CF37 5AW, CF37 5BB, CF37 5BD, CF37 5BE, CF37 5BG, CF37 5BH, CF37 5BP, CF37 5BW, CF37 5DN, CF37 5DS, CF37 5DU",296,262,34
W00006246,CF37,"CF37 5AR, CF37 5AT, CF37 5AY, CF37 5LQ, CF37 5LU",241,221,20
W00006245,CF37,"CF37 5AS, CF37 5AU, CF37 5BA",266,240,26
W00006244,CF37,"CF37 5HY, CF37 5LD, CF37 5LE, CF37 5LF, CF37 5LG",293,254,39
W00006243,CF37,"CF37 5AQ, CF37 5LS, CF37 5LT, CF37 5LY, CF37 5NA, CF37 5NG, CF37 5NW, CF37 5XH, CF37 5XJ, CF37 5XN, CF37 5YS, CF37 5YZ",278,244,34
W00006242,CF37,"CF37 5LL, CF37 5LN, CF37 5LP",199,177,22
W00006241,CF37,"CF37 5HP, CF37 5HR, CF37 5HS, CF37 5HT, CF37 5HU, CF37 5LB, CF37 5RG, CF37 5RH, CF37 5RL",265,229,36
W00006224,CF37,"CF37 3BE, CF37 3BT, CF37 3DB",235,215,20
W00006240,CF37,"CF37 5NB, CF37 5NE, CF37 5NL, CF37 5NN, CF37 5NR, CF37 5PJ, CF37 5PL, CF37 5RN, CF37 5RW, CF37 5RZ",485,427,58
W00006237,CF37,"CF37 1NF, CF37 1NG, CF37 1NH, CF37 1NQ, CF37 1NT, CF37 1QP, CF37 1QY, CF37 1RD, CF37 1XH, CF37 1YD, CF37 1YF, CF37 1YH, CF37 1YJ, CF37 1YN, CF37 1YP, CF37 1YQ, CF37 1YR, CF37 1YT, CF37 1YW, CF37 1YX, CF37 1YZ",246,217,29
W00006236,CF37,"CF37 1LP, CF37 1LR, CF37 1LS, CF37 1LT, CF37 1LU, CF37 1PF, CF37 1PG, CF37 1PH, CF37 1PQ, CF37 1XJ, CF37 1YA, CF37 1YY",283,261,22
W00006235,CF37,"CF37 1LY, CF37 1LZ, CF37 1QL",205,188,17
W00006234,CF37,"CF37 1NA, CF37 1NB, CF37 1ND",255,227,28
W00006233,CF37,"CF37 1LH, CF37 1LL, CF37 1LN, CF37 1LQ, CF37 1LW, CF37 1LX, CF37 1NE, CF37 1PA",245,217,28
W00006232,CF37,"CF37 1NJ, CF37 1NL, CF37 1NN, CF37 1NW, CF37 1PN, CF37 1RG",244,206,38
W00006231,CF37,"CF37 1AB, CF37 1QR, CF37 1QS, CF37 1QU, CF37 1QZ, CF37 1RA, CF37 1RE, CF37 1SD, CF37 1SF, CF37 2UA, CF37 4SP",215,184,31
W00006230,CF37,"CF37 1BA, CF37 1BB, CF37 1DT, CF37 1DU, CF37 1DX, CF37 1DY, CF37 1HB, CF37 1JN, CF37 1JR, CF37 1JS, CF37 1JU, CF37 1JW, CF37 1JX, CF37 1JY, CF37 1JZ, CF37 1LA, CF37 1LB, CF37 1LD, CF37 1LE, CF37 1LF, CF37 1LG, CF37 1LJ, CF37 1NZ, CF37 1PT, CF37 1QF, CF37 1QJ, CF37 1QN, CF37 1QW, CF37 1QX, CF37 1RB, CF37 1SB, CF37 1XX, CF37 1YB, CF37 2TT, CF37 2UE, CF37 4ST, CF37 4TZ, CF37 4UY, CF37 4YJ",296,270,26
W00006229,CF37,"CF37 3AB, CF37 3AD, CF37 3AJ",211,180,31
W00006227,CF37,"CF37 3AF, CF37 3AG, CF37 3AN, CF37 3AP, CF37 3AR",300,254,46
W00006226,CF37,"CF37 3AA, CF37 3BY, CF37 3DA",367,324,43
W00006239,CF37,"CF37 5LR, CF37 5LX, CF37 5NP, CF37 5NS, CF37 5RS",198,176,22
W00006238,CF37,"CF37 1PJ, CF37 1PP, CF37 1XA, CF37 1XB, CF37 1XD, CF37 1XE, CF37 1XF, CF37 1XG, CF37 1XL, CF37 1YG, CF37 1YU, CF37 1ZS",207,173,34
W00006723,CF37,"CF37 3ET, CF37 3HH",189,171,18
W00006633,CF37,"CF37 1BD, CF37 1BN, CF37 1BP, CF37 1BR, CF37 1BS, CF37 1BW, CF37 4BW",433,386,47
W00006503,CF37,"CF37 4BS, CF37 5BZ, CF37 5EU, CF37 5EY, CF37 5HJ, CF37 5HN, CF37 5HW",418,371,47
W00006502,CF37,"CF37 5DP, CF37 5DZ, CF37 5EE, CF37 5EL, CF37 5SJ",250,221,29
W00006501,CF37,"CF37 5DG, CF37 5DH, CF37 5DR, CF37 5SD",335,299,36
W00006500,CF37,"CF37 5PN, CF37 5PT, CF37 5PU, CF37 5QA",294,254,40
W00006499,CF37,"CF37 1DZ, CF37 1EA, CF37 1EB, CF37 1ED, CF37 1EG, CF37 1HA, CF37 1HF, CF37 1HQ, CF37 2UD",239,200,39
W00006498,CF37,"CF37 1EL, CF37 1EW, CF37 1EY, CF37 1EZ, CF37 1QD, CF37 1QE",320,273,47
W00006497,CF37,"CF37 1EN, CF37 1EP, CF37 1ES, CF37 1JQ",298,259,39
W00006496,CF37,"CF37 1DW, CF37 1EE, CF37 1ER, CF37 1FA, CF37 1JB, CF37 1JG",371,345,26
W00006495,CF37,"CF37 1HH, CF37 1HJ, CF37 1HL, CF37 1HN, CF37 1HP, CF37 1HR, CF37 1HW, CF37 1HZ",291,247,44
W00006504,CF37,"CF37 5EP, CF37 5ER, CF37 5ET",270,249,21
W00006494,CF37,"CF37 1HS, CF37 1HT, CF37 1HU, CF37 1HX, CF37 1JE, CF37 1JH, CF37 2AS, CF37 2PT, CF37 2QQ",278,238,40
W00006492,CF37,"CF37 2PR, CF37 2RB, CF37 2RL, CF37 2RN, CF37 2RP, CF37 2RW, CF37 2SF",266,243,23
W00006491,CF37,"CF37 1ET, CF37 1EU, CF37 2SD, CF37 2SG, CF37 2SJ",207,190,17
W00006490,CF37,"CF37 1EX, CF37 1QB, CF37 2NB, CF37 2ND, CF37 2NE, CF37 2NF, CF37 2PE, CF37 2PF, CF37 2PG, CF37 2PH, CF37 2SE, CF37 3NW",327,295,32
W00006314,CF37,"CF37 1PR, CF38 2FR, CF38 2PL, CF38 2PR, CF38 2PU, CF38 2PY, CF38 2RF, CF38 2RG, CF38 2RH",292,246,46
W00006488,CF37,"CF37 2RU, CF37 2SA, CF37 2SH, CF37 2SQ",263,221,42
W00006487,CF37,"CF37 2AP, CF37 2RR, CF37 2RS, CF37 2RT, CF37 2RY, CF37 2SB, CF37 2YE, CF37 2YF, CF37 2YG, CF37 2YH, CF37 2YJ, CF37 2YP, CF37 2YR",261,232,29
W00006486,CF37,"CF37 1AA, CF37 1EF, CF37 1EH, CF37 1EJ, CF37 1EQ, CF37 1NY, CF37 1PB, CF37 1PD, CF37 1PE, CF37 1UN, CF37 1WZ, CF37 1XN, CF37 1YL, CF37 1YS, CF37 1ZA, CF37 1ZY, CF37 2WB, CF37 2WS, CF37 2YB, CF37 2YL, CF37 2YN, CF37 2YQ, CF37 3YE, CF37 3YG, CF37 4WZ, CF37 4YA, CF37 4YR, CF37 5RA, CF37 5WQ, CF37 5XA, CF37 5XP, CF37 9AJ, CF37 9AL, CF37 9AN, CF37 9AP, CF37 9AQ, CF37 9AR, CF37 9AS, CF37 9AT, CF37 9AU, CF37 9AW, CF37 9AX, CF37 9AY, CF37 9AZ, CF37 9BA, CF37 9BB, CF37 9BD, CF37 9BE, CF37 9BF, CF37 9BG, CF37 9BH, CF37 9BJ, CF37 9BL, CF37 9BN, CF37 9BP, CF37 9BQ, CF37 9BR, CF37 9BS, CF37 9BT, CF37 9BU, CF37 9BW, CF37 9BX, CF37 9BY, CF37 9BZ, CF37 9DA, CF37 9DB, CF37 9DD, CF37 9DE, CF37 9DF, CF37 9DG, CF37 9DH, CF37 9DJ, CF37 9DL, CF37 9DN, CF37 9DP, CF37 9DQ, CF37 9DR, CF37 9DS, CF37 9DT, CF37 9DU, CF37 9DW, CF37 9DX, CF37 9DY, CF37 9DZ, CF37 9EA, CF37 9EB, CF37 9ED, CF37 9EE, CF37 9EF, CF37 9EG, CF37 9EH, CF37 9EJ, CF37 9EL, CF37 9EN, CF37 9EP, CF37 9EQ, CF37 9ER, CF37 9ET, CF37 9EU, CF37 9EX, CF37 9EY, CF37 9EZ, CF37 9FA, CF37 9FB, CF37 9FD, CF37 9FE, CF37 9FF, CF37 9FG, CF37 9WZ, CF37 9ZZ, CF38 1WW, CF38 1WY, CF38 1XD, CF38 1YR, CF38 1ZB, CF38 2WD, CF38 2WY, CF38 2XA, CF38 2XE, CF38 2YA, CF46 6XT, CF46 6YG, CF46 6ZH, CF46 6ZY, CF46 9AQ",268,220,48
W00006485,CF37,"CF37 1HY, CF37 1JA, CF37 1JD, CF37 1JF, CF37 1JJ, CF37 1JL, CF37 1JP, CF37 1JT",390,321,69
W00006484,CF37,"CF37 2PS, CF37 2RF, CF37 2RG, CF37 2RH",298,268,30
W00006493,CF37,"CF37 2PU, CF37 2PY, CF37 2RA, CF37 2RD, CF37 2RE",264,245,19
W00006735,CF37,"CF37 1BG, CF37 3DR, CF37 3DS, CF37 3ED, CF37 3EP, CF37 3ER, CF37 3ES, CF37 3EU, CF37 3EY, CF37 3HP, CF37 3LY, CF37 3YB, CF37 3YD, CF37 3YZ",303,262,41
W00006505,CF37,"CF37 5PP, CF37 5PS, CF37 5PW, CF37 5RB",224,203,21
W00006507,CF37,"CF37 5BX, CF37 5DT, CF37 5DY, CF37 5EF, CF37 5EG, CF37 5EH, CF37 5HD",310,282,28
W00006724,CF37,"CF37 3HA, CF37 3HB, CF37 3HD, CF37 3HJ, CF37 3HN",249,213,36
W00006725,CF37,"CF37 3JF, CF37 3JH, CF37 3JJ, CF37 3JL",428,318,110
W00006726,CF37,"CF37 3DG, CF37 3DH, CF37 3DJ, CF37 3DL, CF37 3DP, CF37 3DQ, CF37 3DX, CF37 3EQ",313,255,58
W00006536,CF37,"CF37 5UA, CF37 5YJ, CF38 1LJ, CF38 1LL, CF38 1LN, CF38 1LY, CF38 1NA, CF38 1SS, CF38 1SU, CF38 1TA, CF38 1TB, CF38 1TE, CF38 1TF, CF38 1TH",293,260,33
W00006727,CF37,"CF37 3NU, CF37 3PA, CF37 3PB, CF37 3PD",292,263,29
W00006728,CF37,"CF37 3HU, CF37 3HZ, CF37 3JP, CF37 3LA, CF37 3LB",269,222,47
W00006729,CF37,"CF37 3HW, CF37 3LP, CF37 3LS, CF37 3LW, CF37 3LX, CF37 3NY",283,238,45
W00006730,CF37,"CF37 3HS, CF37 3HX, CF37 3HY, CF37 3LD, CF37 3LG, CF37 3LL, CF37 3LN, CF37 3LT, CF37 3LU",256,216,40
W00006731,CF37,"CF37 3HR, CF37 3HT, CF37 3LE, CF37 3LF, CF37 3LH",317,275,42
W00006506,CF37,"CF37 5ES, CF37 5HA, CF37 5HB, CF37 5HL, CF37 5HQ",273,251,22
W00006732,CF37,"CF37 3DT, CF37 3DU, CF37 3DY, CF37 3EN, CF37 3YX",314,275,39
W00006734,CF37,"CF37 3EA, CF37 3EB, CF37 3EH, CF37 3EL, CF37 3EW",282,247,35
W00009904,CF37,"CF37 1TS, CF37 1TX, CF37 1TY, CF37 1TZ, CF37 1UA, CF37 1UB, CF37 1UE, CF37 1UJ",186,163,23
W00006514,CF37,"CF37 5DJ, CF37 5DW, CF37 5EA, CF37 5EB, CF37 5ED, CF37 5EZ",312,279,33
W00006513,CF37,"CF37 5EN, CF37 5EW, CF37 5SN",194,175,19
W00006512,CF37,"CF37 5DQ, CF37 5DX, CF37 5EJ, CF37 5EQ, CF37 5SX",293,249,44
W00006511,CF37,"CF37 5DB, CF37 5DE, CF37 5DF, CF37 5SB",313,287,26
W00006510,CF37,"CF37 5DA, CF37 5DD, CF37 5DL, CF37 5ND",212,190,22
W00006509,CF37,"CF37 5BU, CF37 5BY, CF37 5PR, CF37 5RR, CF37 5RT, CF37 5RU, CF37 5RX, CF37 5RY, CF37 5SA, CF37 5SZ",307,275,32
W00006508,CF37,"CF37 5HE, CF37 5HF, CF37 5HG, CF37 5HH, CF37 5SE",314,272,42
W00006733,CF37,"CF37 3EE, CF37 3EF, CF37 3EG, CF37 3EZ",305,279,26
W00006596,CF37,"CF37 4PS, CF37 4PU, CF37 4SD, CF37 4SH",253,231,22
W00006489,CF37,"CF37 2LR, CF37 2LS, CF37 2LT, CF37 2LY, CF37 2NA, CF37 2PP",282,246,36
W00006722,CF37,"CF37 3LR, CF37 3NP, CF37 3NR, CF37 3NS, CF37 3NT, CF37 3PE, CF37 3PF, CF37 3PG, CF37 3PH, CF37 3PJ, CF37 3PL, CF37 3PN, CF37 3PP",302,244,58
W00006607,CF37,"CF37 4AD, CF37 4AH, CF37 4AL, CF37 4AN, CF37 4AP, CF37 4AQ, CF37 4AW, CF37 4AX, CF37 4DJ",250,213,37
W00006608,CF37,"CF37 4LF, CF37 4LG, CF37 4PJ, CF37 4PL, CF37 4PN, CF37 4PQ, CF37 4SA, CF37 4SB",200,183,17
W00006622,CF37,"CF37 1DB, CF37 4AR, CF37 4AS, CF37 4AT, CF37 4AU, CF37 4AY, CF37 4BA, CF37 4BB, CF37 4BD, CF37 4BE, CF37 4BG, CF37 4BH, CF37 4BL, CF37 4BN, CF37 4LX, CF37 5LJ",275,243,32
W00006623,CF37,"CF37 1SL, CF37 1TF, CF37 1TG, CF37 1TH, CF37 1TJ, CF37 1TL, CF37 1TQ",333,293,40
W00006624,CF37,"CF37 1BE, CF37 1BF, CF37 1BH, CF37 1BJ, CF37 1BT, CF37 1BU, CF37 1BX, CF37 1BY, CF37 1BZ, CF37 1DA",357,324,33
W00006625,CF37,"CF37 1BL, CF37 1NP, CF37 1NR, CF37 1NS, CF37 1NX, CF37 1RF, CF37 1RQ, CF37 1SA",431,391,40
W00006453,CF37,"CF37 2EP, CF37 2ER, CF37 2ES, CF37 2HG",321,254,67
W00006606,CF37,"CF37 4DD, CF37 4DE, CF37 4DF, CF37 4DG, CF37 4DR, CF37 4DT, CF37 4DU, CF37 4EA",363,315,48
W00006454,CF37,"CF37 2EH, CF37 2EL, CF37 2HA",269,227,42
W00006456,CF37,"CF37 2EB, CF37 2ED, CF37 2EE, CF37 2EF, CF37 2EG, CF37 2EQ, CF37 2JA, CF37 2JP, CF37 2LF, CF37 3NL",286,222,64
W00006626,CF37,"CF37 1DD, CF37 1QT, CF37 1RH, CF37 1RJ, CF37 1SG, CF37 1SH, CF37 1SN, CF37 1SQ, CF37 1TB, CF37 1TE, CF37 1UL",470,439,31
W00006597,CF37,"CF37 4BP, CF37 4BY, CF37 4DA, CF37 4DB, CF37 4LB, CF37 4LD, CF37 4LE, CF37 4PD, CF37 4PE, CF37 4PF, CF37 4PG, CF37 4PH, CF37 4PR, CF37 4SE",261,222,39
W00006627,CF37,"CF37 1ST, CF37 1SU, CF37 1SZ, CF37 1TA, CF37 1TD, CF37 5RE, CF37 5RF",225,203,22
W00006630,CF37,"CF37 1AD, CF37 1NU, CF37 1RT, CF37 1RU, CF37 1SE, CF37 1SJ, CF37 1TN, CF37 1TP, CF37 1TW",342,325,17
W00006629,CF37,"CF37 1RN, CF37 1RP, CF37 1RR, CF37 1RS",334,294,40
W00006628,CF37,"CF37 1AE, CF37 1RL, CF37 1RW, CF37 1RX, CF37 1RY, CF37 1RZ",535,489,46
W00006455,CF37,"CF37 2EN, CF37 2EU, CF37 2EW, CF37 2EY, CF37 2HB",240,208,32
W00006452,CF37,"CF37 2AA, CF37 2AB, CF37 2AD, CF37 2AE, CF37 2AF, CF37 2AG, CF37 2AH, CF37 2AJ, CF37 2AL, CF37 2AN, CF37 2AQ, CF37 2DS, CF37 2TR, CF37 4XA",312,256,56
W00006605,CF37,"CF37 4PP, CF37 4PT, CF37 4PW",248,213,35
W00009894,CF37,"CF37 1DL, CF37 1PS, CF37 1TR, CF37 1TT, CF37 1TU, CF37 1UF, CF37 1UG, CF37 1UH, CF37 5LA",838,760,78
W00006598,CF37,"CF37 4AA, CF37 4AB, CF37 4AE, CF37 4AF, CF37 4AG",297,244,53
W00006599,CF37,"CF37 4LR, CF37 4LS, CF37 4LT, CF37 4LU, CF37 4RB, CF37 4RE, CF37 4RF, CF37 4RJ, CF37 4YB, CF37 4YF, CF37 4YH, CF37 4YL, CF37 4YN, CF37 4YP, CF37 4YQ",294,254,40
W00006600,CF37,"CF37 4RG, CF37 4RL, CF37 4RU, CF37 4RW",277,239,38
W00006601,CF37,"CF37 4DY, CF37 4LH, CF37 4LJ, CF37 4LP, CF37 4RN, CF37 4RX, CF37 4RY",314,279,35
W00006602,CF37,"CF37 4DH, CF37 4DL, CF37 4DN, CF37 4DQ, CF37 4DS, CF37 4DZ, CF37 4LL, CF37 4LN, CF37 4LW",294,248,46
W00006604,CF37,"CF37 4RH, CF37 4RR, CF37 4RS, CF37 4RT, CF37 4RZ, CF37 4SG",250,221,29
W00006721,CF37,"CF37 3EJ, CF37 3EX, CF37 3JA, CF37 3JB, CF37 3JD, CF37 3JE, CF37 3JG",305,250,55
W00006032,CF37,"CF37 3NA, CF37 3ND, CF45 4BF, CF45 4NJ, CF45 4NL, CF45 4PE, CF45 4PP, CF45 4PQ, CF45 4RS, CF45 4RT, CF45 4SB, CF45 4SD, CF45 4SE, CF45 4SH, CF45 4SN, CF45 4UQ, CF45 4UZ, CF45 4XA, CF45 4XQ",370,305,65
W00007220,CF37,"CF37 4HP, CF37 4HR, CF46 6BN, CF46 6HX, CF46 6PH, CF46 6PL, CF46 6PN, CF46 6PP, CF46 6PR, CF46 6PS, CF46 6PW, CF46 6PX",219,193,26
W00006631,CF37,"CF37 1SP, CF37 1SR, CF37 1SS, CF37 1SW, CF37 1SX, CF37 1SY, CF37 1UD",302,267,35
W00006448,CF37,"CF37 2AU, CF37 2AY, CF37 2BD, CF37 2BE, CF37 2BG, CF37 2BH, CF37 2BL, CF37 2BN, CF37 2BP, CF37 2BS, CF37 2BW, CF37 2DB, CF37 2DD, CF37 2DE, CF37 2DF, CF37 2DH, CF37 2DJ, CF37 2DL, CF37 2DP, CF37 2DR, CF37 2DT, CF37 2DU, CF37 2DW, CF37 2DY, CF37 2HU, CF37 2HX, CF37 2SN, CF37 2SP, CF37 2SR, CF37 2SS, CF37 2ST, CF37 2SU, CF37 2SW, CF37 2SY, CF37 2TA, CF37 2TB, CF37 2TD, CF37 2TE, CF37 2TF, CF37 2TG, CF37 2TH, CF37 2TL, CF37 2TN, CF37 2TP, CF37 2TU, CF37 2UF, CF37 2UG, CF37 2WA, CF37 2YA, CF37 2YD, CF37 2YS, CF37 3NN, CF37 4AJ, CF37 4SJ, CF37 4SL, CF37 4SN, CF37 4SR, CF37 4SS, CF37 4SU, CF37 4SZ, CF37 4TA, CF37 4TB, CF37 4TD, CF37 4TE, CF37 4TF, CF37 4TG, CF37 4TH, CF37 4TJ, CF37 4TL, CF37 4TN, CF37 4TP, CF37 4TR, CF37 4TS, CF37 4TT, CF37 4TU, CF37 4TW, CF37 4TX, CF37 4UA, CF37 4UB, CF37 4UD, CF37 4UE, CF37 4UF, CF37 4UG, CF37 4UH, CF37 4UL, CF37 4UN, CF37 4UP, CF37 4UR, CF37 4UT, CF37 4UU, CF37 4UW, CF37 4UX, CF37 4XX, CF37 4YD, CF37 4YE, CF37 4YG, CF37 4YS, CF37 4YT, CF37 4YY, CF37 4ZB, CF37 4ZQ, CF37 9SA",475,391,84
W00006449,CF37,"CF37 2DG, CF37 2HD, CF37 2HE, CF37 2HN, CF37 2HW, CF37 2HY, CF37 2HZ, CF37 2LA, CF37 2LB, CF37 2LD, CF37 2LE, CF37 2LG",340,269,71
W00006450,CF37,"CF37 2HF, CF37 2HH, CF37 2HL, CF37 2HP, CF37 2HR, CF37 2HS, CF37 2HT",286,243,43
W00006451,CF37,"CF37 1HE, CF37 2AT, CF37 2BA, CF37 2BB, CF37 2BT, CF37 2BU, CF37 2BY, CF37 2DA, CF37 2TS, CF37 2TW, CF37 2TX, CF37 2UB, CF37 4TY",279,236,43
W00006603,CF37,"CF37 4PY, CF37 4RA, CF37 4RD, CF37 4RP",269,235,34
W00006139,CF38,"CF38 1AE, CF38 1DF, CF38 1DG, CF38 1DH, CF38 1SD, CF38 1SE",362,294,68
W00006138,CF38,"CF38 1DD, CF38 1UA, CF38 1UB, CF38 1UD, CF38 1UF",266,235,31
